"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_STRANGE_BERRY_SKIN","SCOOPS AHOY BERRY","بيري سكوبس آهوي","水手冰淇淋拜瑞","水手冰淇淋貝瑞","SCOOPS AHOY BERRY","BERRY SCOOPS AHOY","SCOOPS AHOY-BERRY","BERRY SCOOPS AHOY","ברי סקופס אהוי","BERRY SCOOPS AHOY","BERRY CONI AHOY","スクープス・アホイ ベリー","스쿱스 아호이 베리","BERRY SCOOPS AHOY","SCOOPS AHOY-BERRY","BERRY Z LODZIARNI AHOJ","BERRY SCOOPS AHOY","«ЭСКИМО НА ПАЛУБЕ» БЕРРИ","เบอร์รี่ สกู๊ปส์อะฮอย","SCOOPS AHOY BERRY","BERRY SCOOPS AHOY"
"TID_STRANGE_BERRY_SKIN_SHOP","SCOOPS AHOY\nBERRY","بيري\nسكوبس آهوي","水手冰淇淋\n拜瑞","水手冰淇淋\n貝瑞","SCOOPS AHOY\nBERRY","BERRY\nSCOOPS AHOY","SCOOPS AHOY\nBERRY","BERRY\nSCOOPS AHOY","ברי\nסקופס אהוי","BERRY\nSCOOPS AHOY","BERRY\nCONI AHOY","スクープス・アホイ\nベリー","스쿱스 아호이 베리","BERRY\nSCOOPS AHOY","SCOOPS AHOY-\nBERRY","BERRY\nZ LODZIARNI AHOJ","BERRY SCOOPS\nAHOY","«ЭСКИМО НА ПАЛУБЕ»\nБЕРРИ","เบอร์รี่\nสกู๊ปส์อะฮอย","SCOOPS AHOY\nBERRY","BERRY\nSCOOPS AHOY"
"TID_GIGI_CHROMA1_SKIN","AUTUMN SCARECROW GIGI","جيجي فزّاعة الخريف","秋日稻草人琪琪","秋日稻草人","HERBSTSCHEUCHE GIGI","GIGI ESPANTAPÁJAROS OTOÑAL","SYYSVARIKSENPELÄTIN-GIGI","GIGI ÉPOUVANTAIL AUTOMNAL","ג'יג'י דחלילת הסתיו","GIGI ORANG-ORANGAN MUSIM GUGUR","GIGI SPAVENTAPASSERI AUTUNNALE","秋のカカシ ジジ","가을 허수아비 지지","GIGI ORANG-ORANG LURUH","HERFSTVERSCHRIKKER GIGI","JESIENNA GIGI NA WRÓBLE","GIGI ESPANTALHO DE OUTONO","ОСЕННЕЕ ПУГАЛО ДЖИДЖИ","จีจี้ หุ่นไล่กาฤดูใบไม้ร่วง","SONBAHAR KORKULUĞU GIGI","GIGI BÙ NHÌN MÙA THU"
"TID_GIGI_CHROMA1_SKIN_SHOP","AUTUMN SCARECROW\nGIGI","جيجي\nفزّاعة الخريف","秋日稻草人\n琪琪","秋日稻草人","HERBSTSCHEUCHE\nGIGI","GIGI\nESPANTAPÁJAROS OTOÑAL","SYYSVARIKSENPELÄTIN-\nGIGI","GIGI\nÉPOUVANTAIL AUTOMNAL","ג'יג'י\nדחלילת הסתיו","GIGI\nORANG-ORANGAN MUSIM GUGUR","GIGI\nSPAVENTAPASSERI AUTUNNALE","秋のカカシ\nジジ","가을 허수아비 지지","GIGI\nORANG-ORANG LURUH","HERFSTVERSCHRIKKER\nGIGI","JESIENNA GIGI\nNA WRÓBLE","GIGI ESPANTALHO\nDE OUTONO","ОСЕННЕЕ ПУГАЛО\nДЖИДЖИ","จีจี้ หุ่นไล่กา\nฤดูใบไม้ร่วง","SONBAHAR KORKULUĞU\nGIGI","GIGI\nBÙ NHÌN MÙA THU"
"TID_GIGI_CHROMA2_SKIN","WINTER SCARECROW GIGI","جيجي فزّاعة الشتاء","冬日稻草人琪琪","冬日稻草人","WINTERSCHEUCHE GIGI","GIGI ESPANTAPÁJAROS INVERNAL","TALVIVARIKSENPELÄTIN-GIGI","GIGI ÉPOUVANTAIL HIVERNAL","ג'יג'י דחלילת החורף","GIGI ORANG-ORANGAN MUSIM DINGIN","GIGI SPAVENTAPASSERI INVERNALE","冬のカカシ ジジ","겨울 허수아비 지지","GIGI ORANG-ORANG SEJUK","WINTERVERSCHRIKKER GIGI","ZIMOWA GIGI NA WRÓBLE","GIGI ESPANTALHO DE INVERNO","ЗИМНЕЕ ПУГАЛО ДЖИДЖИ","จีจี้ หุ่นไล่กาฤดูหนาว","KIŞ KORKULUĞU GIGI","GIGI BÙ NHÌN MÙA ĐÔNG"
"TID_GIGI_CHROMA2_SKIN_SHOP","WINTER SCARECROW\nGIGI","جيجي\nفزّاعة الشتاء","冬日稻草人\n琪琪","冬日稻草人","WINTERSCHEUCHE\nGIGI","GIGI\nESPANTAPÁJAROS INVERNAL","TALVIVARIKSENPELÄTIN-\nGIGI","GIGI\nÉPOUVANTAIL HIVERNAL","ג'יג'י\nדחלילת החורף","GIGI\nORANG-ORANGAN MUSIM DINGIN","GIGI\nSPAVENTAPASSERI INVERNALE","冬のカカシ\nジジ","겨울 허수아비 지지","GIGI\nORANG-ORANG SEJUK","WINTERVERSCHRIKKER\nGIGI","ZIMOWA GIGI\nNA WRÓBLE","GIGI ESPANTALHO\nDE INVERNO","ЗИМНЕЕ ПУГАЛО\nДЖИДЖИ","จีจี้ หุ่นไล่กา\nฤดูหนาว","KIŞ KORKULUĞU\nGIGI","GIGI\nBÙ NHÌN MÙA ĐÔNG"
"TID_GIGI_SCARECROW_SKIN","SCARECROW GIGI","جيجي الفزّاعة","稻草人琪琪","恐怖稻草人","VOGELSCHEUCHE GIGI","GIGI ESPANTAPÁJAROS","VARIKSENPELÄTIN-GIGI","GIGI ÉPOUVANTAIL","ג‘יג‘י הדחלילה","GIGI ORANG-ORANGAN SAWAH","GIGI SPAVENTAPASSERI","カカシ ジジ","허수아비 지지","GIGI ORANG-ORANG","VOGELVERSCHRIKKER GIGI","GIGI NA WRÓBLE","GIGI ESPANTALHO","ПУГАЛО ДЖИДЖИ","จีจี้ หุ่นไล่กา","KORKULUK GIGI","GIGI BÙ NHÌN"
"TID_GIGI_SCARECROW_SKIN_SHOP","SCARECROW\nGIGI","جيجي\nالفزّاعة","稻草人琪琪","恐怖稻草人","VOGELSCHEUCHE\nGIGI","GIGI\nESPANTAPÁJAROS","VARIKSENPELÄTIN-\nGIGI","GIGI\nÉPOUVANTAIL","ג‘יג‘י\nהדחלילה","GIGI\nORANG-ORANGAN SAWAH","GIGI\nSPAVENTAPASSERI","カカシ\nジジ","허수아비 지지","GIGI\nORANG-ORANG","VOGELVERSCHRIKKER\nGIGI","GIGI\nNA WRÓBLE","GIGI\nESPANTALHO","ПУГАЛО\nДЖИДЖИ","จีจี้\nหุ่นไล่กา","KORKULUK\nGIGI","GIGI\nBÙ NHÌN"
"TID_BRAWLER_EARLY_ACCESS_MINA_INFO_2","Every 2 Wins opens a Brawler Box.","كل فوزين يفتحان صندوق أبطال","每赢得2场对战可打开一个英雄宝箱。","每贏得2場對戰可開啟一個英雄寶箱。","Alle 2 Siege kannst du eine Brawlerbox öffnen.","Cada 2 victorias, abrirás una caja de brawler.","Joka toinen voitto avaa rämäpäälippaan.","Enchaînez 2 victoires, ouvrez une boîte brawler !","כל 2 ניצחונות פותחים תיבת בראולר.","Buka satu Kotak Jagoan setiap 2 Kemenangan.","Ogni due vittorie, ricevi una cassa della brawler.","2勝するたびにブロスタボックスを開封できます。","2번 승리할 때마다 브롤러 상자 1개를 얻을 수 있습니다.","Setiap 2 kemenangan memberi 1 Kotak Brawler","Voor elke 2 overwinningen krijg je een knokkerdoos.","Co drugie zwycięstwo możesz otworzyć skrzynkę Zadymiarza.","A cada duas vitórias, você pode abrir uma caixa de Brawler.","За каждые две победы ты получаешь ящик бойца.","เปิดกล่องบรอว์เลอร์เมื่อชนะทุกๆ 2 ครั้ง","Her iki zafer bir savaşçı kutusu verir.","Với mỗi 2 Trận thắng, bạn có thể mở 1 Hộp Chiến binh Brawl."
"TID_BRAWLER_EARLY_ACCESS_MINA_EVENT_INFO_3","Every 2 Wins opens a Brawler Box.","كل فوزين يفتحان صندوق أبطال","每赢得2场对战可打开一个英雄宝箱。","每贏得2場對戰可開啟一個英雄寶箱。","Alle 2 Siege kannst du eine Brawlerbox öffnen.","Cada 2 victorias, abrirás una caja de brawler.","Joka toinen voitto avaa rämäpäälippaan.","Enchaînez 2 victoires, ouvrez une boîte brawler !","כל 2 ניצחונות פותחים תיבת בראולר.","Buka satu Kotak Jagoan setiap 2 Kemenangan.","Ogni due vittorie, ricevi una cassa della brawler.","2勝するたびにブロスタボックスを開封できます。","2번 승리할 때마다 브롤러 상자 1개를 얻을 수 있습니다.","Setiap 2 kemenangan memberi 1 Kotak Brawler","Voor elke 2 overwinningen krijg je een knokkerdoos.","Co drugie zwycięstwo możesz otworzyć skrzynkę Zadymiarza.","A cada duas vitórias, você pode abrir uma caixa de Brawler.","За каждые две победы ты получаешь ящик бойца.","เปิดกล่องบรอว์เลอร์เมื่อชนะทุกๆ 2 ครั้ง","Her iki zafer bir savaşçı kutusu verir.","Với mỗi 2 Trận thắng, bạn có thể mở 1 Hộp Chiến binh Brawl."
"TID_BUTTON_SCID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_EVENT_MODIFIER_50","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>BATTLE SETTINGS</c>","<c750013>ПАРАМЕТРЫ ИГРЫ</c>","<c750013>BATTLE SETTINGS</c>","<c750013>SAVAŞ AYARLARI</c>","<c750013>BATTLE SETTINGS</c>"
"TID_EVENT_MODIFIER_51","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","NO POISON","БЕЗ ЯДА","NO POISON","ZEHİR GAZI YOK","NO POISON"
"TID_EVENT_MODIFIER_52","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","GAME MASTER","МАСТЕР ИГРЫ","GAME MASTER","OYUN YÖNETİCİSİ","GAME MASTER"
"TID_EVENT_MODIFIER_53","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","BATTLE CHAT","ЧАТ В БОЮ","BATTLE CHAT","SAVAŞ SOHBETİ","BATTLE CHAT"
"TID_EVENT_MODIFIER_DESC_50","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","This game room can have additional parameters set.","В этой комнате могут применяться дополнительные параметры игры.","This game room can have additional parameters set.","Bu oyun odasında bazı ek parametreler ayarlı.","This game room can have additional parameters set."
"TID_EVENT_MODIFIER_DESC_51","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Map filling poison will be completely disabled.","Заполняющий карту яд будет полностью отключен.","Map filling poison will be completely disabled.","Haritayı dolduran zehir tamamen devre dışı bırakılacak.","Map filling poison will be completely disabled."
"TID_EVENT_MODIFIER_DESC_52","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","All selected brawlers are always shown to the room owner.","Все выбранные персонажи всегда видны создателю комнаты.","All selected brawlers are always shown to the room owner.","Seçilen savaşçılar oyun kurucusuna gözükür.","All selected brawlers are always shown to the room owner."
"TID_EVENT_MODIFIER_DESC_53","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Team chat is available even in battle!","Чат дружеской комнаты доступен даже в бою!","Team chat is available even in battle!","Takım sohbeti savaşların içinde kullanılabilir!","Team chat is available even in battle!"
"TID_GAME_MODE_19","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","PROTECT KING","ЗАЩИТА КОРОЛЯ","PROTECT KING","KRALI KORU","PROTECT KING"
